"","Semester","NStudents","Exam1","Exam2","Exam3","HW","Quiz","Final","id"
"1","1",819,83.84,82.59,81.6,82.69,78.08,85.05,1
"2","1",299,84.92,82.46,79.58,83.23,80.44,84.65,2
"3","1",338,85.25,81.4,81.76,82.57,77.23,84.45,3
"4","2",796,85.84,82.24,81.27,82.69,77.15,85.27,4
"5","2",302,83.93,80.62,79.35,82.39,78.84,84.06,5
"6","2",336,86.81,85,82.89,83.52,80.2,87.19,6
"7","3",801,88.16,80.11,77,82.87,78.11,83.19,7
"8","3",350,86.28,79.82,84.03,83.9,77.93,86.36,8
"9","3",324,85.99,81.69,87.6,83.06,78.05,87.64,9
"10","4",873,86.3,83.72,84.29,82.71,80.28,87.35,10
"11","4",346,88.02,81.32,82.15,82.62,83.65,85.2,11
"12","4",328,86.96,83.09,80.21,82.53,77.87,85.43,12
"13","5",848,83.83,83.35,82.17,82.96,77.39,85.52,13
"14","5",313,85.3,81.76,81.77,83.08,79.94,85.82,14
"15","5",362,84.1,80.63,79,82.18,71.57,83.09,15
"16","6",824,87.91,81.71,80.89,83.16,78.57,85.66,16
"17","6",335,85.91,79.35,81.2,82.46,75.92,83.64,17
"18","6",314,83.46,82.91,81.58,81.75,80.14,84.75,18
"19","7",834,88.55,82.04,79.49,82.15,80.26,84.46,19
"20","7",313,85.68,82.48,85.46,81.64,78.06,87.1,20
"21","7",308,85.54,82.03,80.75,82.76,75.94,84.95,21
"22","8",865,88.16,79.52,82.09,82.66,78.83,84.73,22
"23","8",287,83.45,83.01,79.23,82.59,74.16,83.11,23
"24","8",326,83.49,81.7,82.48,82.49,80.59,84.71,24
"25","9",818,87.18,81.8,80.56,82.58,81.85,84.76,25
"26","9",280,87.84,82.29,82.3,81.41,79.57,85.92,26
"27","9",354,85.76,82.27,82.64,82.03,79.46,85.14,27
"28","10",871,85.24,81.14,83.51,82.02,77.4,85.82,28
"29","10",342,85.22,82.16,83.01,83.88,88.38,86.64,29
"30","10",321,82.98,82.84,81.98,83.87,76.68,85.84,30
